"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Export","mean_Export","median_Export","sd_Export","iqr_Export","OPcov_Export","OPcovNoWeights_Export","indAlloc_Export","N_Do not export","mean_Do not export","median_Do not export","sd_Do not export","iqr_Do not export","OPcov_Do not export","OPcovNoWeights_Do not export","indAlloc_Do not export","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,4,45,1.7181518042878,1.7279828868664,0.24943770555808,0.284526463189348,0.0186603399456608,0.0170883261197614,1.66122420377533,19,1.61960414958139,1.54181257778574,0.60006713561875,0.327232916548862,0.139257631485625,0.121814782215063,5.91313151946873,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,3,1.11103640489171,1.0891728465843,1.21553528718459,2.03898289576418,-0.166642748389018,-0.128632723991105,0.845979265548713,23,0.0319676097116827,0.0836922472898305,0.2492144429387,0.419431226474334,0.00548663847783634,-0.0197359828715927,0.251496735726096,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,3,45,0.60486568830007,0.318456579322107,1.05655986477231,0.92318403273544,0.480476932824386,0.0280316317234864,1.47610078603486,85,0.361335338146119,0.222829129106128,0.744873225778821,0.807354461659772,-0.264058207169975,-0.302441024845561,0.3,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,8,1.77116170459954,1.84624411001068,0.307321375511106,0.480575416335512,0.0940714053694055,0.105578112355199,13.538381705664,8,2.10669419359088,1.87793010955111,0.710982869256851,0.590026331174522,0.372585682359432,0.22084019775298,0.902510975850471,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,21,28,0.182238555224102,0.185990745800433,0.161193008458088,0.121213099991078,0.00316496454728987,-0.0600952839304346,1.02944252054915,67,0.541982234554846,0.307918830740428,0.686396175170382,0.706037430012055,-0.508894692524187,-0.736201437046725,0.240759064952324,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,7,3,-0.692296609729934,-0.690127742584004,0.0416496317121299,0,-0.0461196392577469,-0.0340248569772494,1,7,-0.284874776060597,-0.252120218083711,0.263695378039195,0.327854043837849,-0.0625921092079112,-0.0521284164569507,0.939251619229682,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,31,8,1.39352599216492,1.44860069032989,0.451794831412371,0,0.0740095600451372,0.399125945787485,2.70635115783546,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,4,69,0.20579225385463,0.0518143233448525,0.544102161653005,0.633972303937277,-0.0891176312137817,-0.073286009476191,0.907812836680164,223,0.354074062941109,0.224681553049472,0.519989157526844,0.580412925047096,-0.174875084251141,-0.188405411917128,0.618316985383065,"2014","South Asia","India","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,2,10,0.551706286914366,0.379198565544683,0.61265554655964,0.959041983262923,0.169372762105936,0.0387944385142225,1.70250459315327,4,0.0645031086063284,0.0627788991350577,0.114554521537152,0.0193155502050342,0.0256838742615691,0.0660103248820111,6.09027153534758,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,2,38,-0.0402577754604023,-0.123782399639972,0.45648335779154,0.526496629623797,-0.118305384965363,-0.113927000827629,0.343531282140773,53,0.171200425128514,0.136273052875831,0.565194394990643,0.625491748106935,-0.20502991685644,-0.166825598601971,0.288686962014459,"2010","Latin America and Caribbean","Mexico","Upper middle income"
