"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,3,41,-0.736688358626135,-0.793913565585672,0.557104029169314,0.733995542944257,0.182434380904266,0.119768775001589,2.79309881248167,20,-0.376632000155119,-0.544161524048099,0.559980856088373,0.523132979731209,-0.0500934199443384,-0.127517996380804,0.113752088873544,10,-0.670038211781136,-0.639584837407839,0.372541219210109,0.306466450767378,0.279927875413188,0.270327795751742,1.26947916878594,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,-1.01569936645543,-1.19147308296789,0.9157850249785,0.487545696853369,0.200764935270683,-0.384396772083057,1.06737259380135,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,43,-3.13368764689131,-3.35933410843145,0.923371341642913,1.10900455605519,-0.158127669813293,-0.404694698358471,0.697310988235077,93,-3.21445958457608,-3.41085956689321,0.976145901683493,1.12904223042784,-0.0809723903561785,0.177493648291449,1.70632963985209,17,-3.32900646848226,-3.65285537865397,0.765945530128526,0.680618574038162,0.320339695247593,0.159759295186759,0.902774698913996,"2014","South Asia","India","Lower middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,13,5,-1.87794440126773,-1.51025741613766,1.45875898959534,2.77778091643875,0.362181534021386,0.357797872372339,1.55985310289206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Philippines","Philippines2009",NA,NA,NA,NA,NA,NA,NA,NA,0,12,-1.89880170580375,-1.75014450610064,1.20008996683591,2.38333292232712,0.0918379022416585,0.143346458447236,0.71026441126142,16,-2.622224007074,-3.56194995530348,1.68609039742253,2.62575279597927,-0.273670076075821,-0.33581296918144,3.95774573058917,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,2,8,-2.53838817951945,-2.83643728520712,0.726905982457547,1.10502726347369,0.0519915989619244,0.179049379873857,0.733645477302289,16,-2.30733776729905,-2.32374383241511,0.394238134706201,0.467435901609564,0.168162444198371,0.238811455149141,0.941790932244814,4,-1.88676445678198,-1.85268485265205,0.894053046842395,1.67458332032519,0.135453592819829,0.0269248806432446,1,"2012","Europe and Central Asia","Russian Federation","High income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
