"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_+20","mean_+20","median_+20","sd_+20","iqr_+20","OPcov_+20","OPcovNoWeights_+20","indAlloc_+20","N_0-10","mean_0-10","median_0-10","sd_0-10","iqr_0-10","OPcov_0-10","OPcovNoWeights_0-10","indAlloc_0-10","N_11-20","mean_11-20","median_11-20","sd_11-20","iqr_11-20","OPcov_11-20","OPcovNoWeights_11-20","indAlloc_11-20","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,19,2.78436379965709,2.37382593612802,1.43379059305747,1.52371230467215,0.782011349605956,0.75253981426077,0.873487735751373,5,2.49370484870055,2.75088287760013,1.35445459457827,0.977767380978257,-0.292432365977527,-0.30694073298004,0.708822381545151,13,2.7564579530451,2.87810991744113,0.770624943143499,1.44901625858895,0.615289225231404,0.488021725749096,1.14563747018668,"2013","South Asia","Bangladesh","Lower middle income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,2,17,2.49855409910103,2.73100568910522,0.61347589910383,0.829355635669106,0.0076484706843403,0.185093202697764,0.269780338159485,4,2.29470193516209,2.42097804942938,0.328151280821287,0.63035571366893,-0.229828326158661,-0.127639586345316,0.32032899961783,42,2.12094441354286,2.09744259970045,0.470902345235519,0.396610471227165,0.108698065253706,0.141189373741214,1.89976537157177,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,3,20,2.33805709808651,1.92865762389127,1.37450177833522,1.65710983132566,0.418987743445602,0.248880899308553,1.00605161518246,16,1.89667207514547,1.72376893720422,0.716754352548208,1.15131851650987,-0.105568500370624,0.0342176543825692,0.405983475793615,22,1.15167224616962,1.19431869400309,0.957996315005189,0.61390144832419,0.728105062481156,0.214060589647053,1.49514368659936,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,8,130,2.79684968257153,2.73606587223808,0.750012007266535,0.886266672742089,-0.0212375952869666,0.280305636252251,1.65779398217611,42,2.2348640422258,2.22473000198696,0.54866974636115,0.468814037625066,0.105649014666882,0.226074046915428,1.05032088170756,128,2.59841710316503,2.51600313122597,0.992647943870464,1.49207821719439,0.21703152706165,0.156869662705015,0.89046237850652,"2014","South Asia","India","Lower middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,5,10,-9.57069408046485,-9.85425396958422,0.82826555213194,0.958732123309355,-0.0498039433313272,-0.16939397093945,0.0579571462622745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Nepal","Low income"
"Vietnam","Vietnam2009",NA,NA,NA,NA,NA,NA,NA,NA,2,5,2.6821829107337,2.58095497170013,0.684934693725255,0.657469486268479,0.0845146737029625,0.0419204381765919,0.597662613978164,NA,NA,NA,NA,NA,NA,NA,NA,13,2.42437707881141,2.1500529270092,1.22160410922504,1.56576673913398,0.180132220828015,0.22116008294096,1,"2009","East Asia and Pacific","Vietnam","Lower middle income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
