"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","yearOnly","region","countryDes","incomeLevel"
"China","China2012",56,-0.593964757023075,-0.667276683416607,0.474998128630192,0.539069009962232,0.201134928952927,0.129843620538299,2.31035185927459,6,10,-0.97471147240099,-0.90807633820095,0.759705961600126,1.47972837149609,0.457299356605353,0.15589735034903,11.0456694584754,2,-0.593115949372227,-0.593115949372227,0.108042415079472,0.152795048716932,-0.00853841999058246,-0.0102524816238634,0.826238472257581,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,4,14,-0.187306564029228,-1.0270211076943,2.06253383212885,3.50922684762681,0.548741037858157,0.846957159989766,2.8095865216829,10,-0.140562693661692,0.119582308839702,1.10033202932814,1.2972382669974,-0.491126522261027,-0.265416998715279,0.802726248171317,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",53,-3.37295499490561,-3.45644881265981,0.601895158432088,0.724693127488068,-0.0641892818392466,-0.10400205640204,0.825036758023751,3,74,-3.10865388067125,-3.28094854179376,1.115075189746,1.39000041617935,-0.0160326230912381,-0.208841877226681,1.09315226217674,23,-3.23163781634275,-3.54767567280189,0.665984164306779,0.632098420810967,0.0534849005673647,0.0806465873591197,0.938171426452757,"2014","South Asia","India","Lower middle income"
"Mexico","Mexico2010",2,-2.35474737068518,-2.35474737068518,0.552069158546269,0.780743691384036,-0.0915688365490825,-0.130123948564006,0.859884494073832,8,8,-1.67669040994006,-1.53013982480626,1.09007101075386,0.897471031383544,0.190465280052788,0.221499838403096,1.05871219476528,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Philippines","Philippines2009",4,-2.76313795305286,-3.46516233124294,2.18646476812888,3.36391234682291,-0.1560510472872,-0.068812136774423,1,0,5,-2.56665553884302,-3.00851077816025,1.44185885278683,1.78181391403228,0.263505355996991,0.311248553478758,0.894266624734447,19,-2.23050782609337,-2.27139912039865,1.47944176221369,2.62575279597927,-0.511055324964107,-0.645418679869174,0.683023817519241,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",6,-1.85218366069161,-1.75698034266754,0.940593354245479,0.925682778076185,0.0963331634286769,0.275454966040616,0.716808613671438,4,20,-2.26407699333357,-2.31744114443608,0.612085215969055,0.695217497408596,-0.0363579892584163,0.174750590923012,1.20888255606455,NA,NA,NA,NA,NA,NA,NA,NA,"2012","Europe and Central Asia","Russian Federation","High income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
