"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,3,46,1.67172408717535,1.6505418019717,0.370384805920226,0.379285186032906,0.0606423375301567,0.0519520989698499,2.66148794187395,23,1.89285818905475,1.6827649524404,0.517744384520323,0.598856186538093,0.337576540388042,0.225343429660185,0.189644357045604,7,1.56522589598455,1.56462172984285,0.0839373040270011,0.0766845605220183,-0.000312968465505397,-0.00185515753600228,0.169134332261278,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.27534718335882,1.26500264807803,0.183049285665234,0,0.0779398348597665,-0.079946744958436,1.07514910348989,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,3,53,1.52607267507291,1.41285523717056,0.42778809536649,0.414658844190633,-0.0799771391793257,-0.170717529945223,0.262296014505292,122,1.55544440588518,1.40559039571494,0.488717721629988,0.507789497352832,-0.0690253348813774,0.0584377377085319,0.485673034616252,24,1.59183762750366,1.39996303603139,0.502932810382143,0.50820827302336,0.0471213385490194,0.0162892512863013,0.55,"2014","South Asia","India","Lower middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,13,5,1.47439750312092,1.51702717419206,0.704608966816605,1.2560180480334,0.0669924921088616,0.0765907450727293,4.09461439509165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Philippines","Philippines2009",NA,NA,NA,NA,NA,NA,NA,NA,0,13,2.66568547671752,2.44924861266606,1.41729387313907,1.98109243309531,1.52231020455313,1.55322518637682,1.52398118860281,15,1.87503128843482,1.20530110686164,1.2561780869423,1.47915652059599,0.347118360526166,0.457270192807861,0.637548757922078,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,2,11,1.64721034458503,1.62325607251299,0.472046340688573,1.0416019760959,-0.0205273167554749,-0.0370036498497417,1.41098507160092,19,1.55853434898536,1.53696417533592,0.246016095301467,0.275824860354014,0.188961650721238,0.313444096224568,0.785348897608911,7,1.64321709814451,1.53288631887297,0.38381590409889,0.618656022309002,-0.156375025761329,-0.216891708698763,0.549210154290354,"2012","Europe and Central Asia","Russian Federation","High income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
