"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Foreign Ownership","mean_Foreign Ownership","median_Foreign Ownership","sd_Foreign Ownership","iqr_Foreign Ownership","OPcov_Foreign Ownership","OPcovNoWeights_Foreign Ownership","indAlloc_Foreign Ownership","N_Local Ownership","mean_Local Ownership","median_Local Ownership","sd_Local Ownership","iqr_Local Ownership","OPcov_Local Ownership","OPcovNoWeights_Local Ownership","indAlloc_Local Ownership","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,54,-7.34965792506709,-7.41323933212939,0.647188664562314,0.766794832115787,-0.119442828287603,-0.12937838026342,0.578612504033222,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,24,-3.91291839917636,-4.14647832933035,0.798316308263504,0.752123724729064,0.649943248630621,0.447348257385679,2.63995940723271,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,0,17,-4.51028297000571,-4.47977129126292,0.594864714257952,0.694573562846903,0.135380941669288,0.320804768536045,0.251934068212879,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,2,31,-4.36161287670328,-4.53832967029208,0.75073936204699,1.25413950549792,0.125405950198608,-0.184747990354833,0.364192357251311,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,2,17,-2.06325270712185,-2.05375179862738,0.807485326546503,0.907697241740088,-0.389602254796093,-0.366212566954739,0.45928735879052,3,-1.94658292896011,-2.01997409454528,0.328754844467414,0.656824291792242,-0.139155252199634,-0.145809962290173,0.537722513906981,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,2,63,-7.28058757919873,-7.2816129061331,0.644616758955275,0.74928730900699,-0.0858226776056616,0.0158951736271049,0.821807986488569,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","India","Lower middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,1,20,-5.13033163444132,-6.07984229698329,3.9612558690287,4.29578094330945,0.397171953488493,1.48540236531923,1.49432531394391,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,9,13,-1.23966881511191,-1.23019685121476,0.147932374109,0.0825779584803161,0.0743081534646951,0.210837832573076,0.539522785337956,NA,NA,NA,NA,NA,NA,NA,NA,"2012","Europe and Central Asia","Russian Federation","High income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
