"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Do not export","mean_Do not export","median_Do not export","sd_Do not export","iqr_Do not export","OPcov_Do not export","OPcovNoWeights_Do not export","indAlloc_Do not export","N_Export","mean_Export","median_Export","sd_Export","iqr_Export","OPcov_Export","OPcovNoWeights_Export","indAlloc_Export","yearOnly","region","countryDes","incomeLevel"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,2,47,2.24966913559559,2.2396908782474,0.590152441841939,0.663994226599742,0.126112490723202,0.067546070505355,2.77777777777778,32,2.29468558794512,2.37397766775367,0.531885886172214,0.588507179393975,-0.0151124404300874,-0.0239055491968061,1.06492453962805,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,1,24,1.58692769116072,1.09372350814978,0.986637519691599,0.932765140582006,0.876957295396283,-0.0973625292386851,1.10845399229493,9,2.83369220558458,2.24711708250463,1.58541063424421,2.3418574479183,-0.802502942842454,0.454688669864723,0.902747800475394,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,166,2.22294778772847,1.99065422125374,0.922537385734297,1.76636324323358,-0.00612638302738107,-0.0561010488195092,1,41,2.76289476514583,2.39064072799923,1.00777584053462,0.749086479472439,-0.209912454108709,0.177885633553177,0.725412260907854,"2014","South Asia","India","Lower middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,2,10,2.42145779914946,2.49529303502963,0.299782223884939,0.104130060796932,0.0955826917358076,0.175534283501556,23.4657823573299,6,2.6362502151589,2.73720999267884,0.353647782539527,0.230770911806831,0.181181281020511,0.214342345983247,0.309181815927679,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Philippines","Philippines2009",NA,NA,NA,NA,NA,NA,NA,NA,0,6,1.98384030233227,2.03260158478239,1.0704991148467,1.01748296152988,0.211721516310728,0.214345687640688,1.15099287756303,27,2.56438548387854,2.09734880346466,1.5006715684824,2.21359942275387,-0.161927730453289,-0.141715560268873,2.57843694805474,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,0,29,2.52901472512265,2.36841849385091,0.778561604750838,0.754085654338809,0.103963875084977,0.263611805538023,1.64841306539181,11,2.904058998423,2.833323793149,0.556725965360311,0.484632117103828,0.397971704568699,0.734278366036006,0.108378284809457,"2012","Europe and Central Asia","Russian Federation","High income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
