"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",12,-3.92429935048018,-4.06269632210828,0.559096249836958,0.56913342746194,0.303865875564176,0.282797000652974,2.22087911385548,2,12,-3.47728121584092,-4.00257379368682,1.06378410239849,1.85733637346927,-0.463235913793026,-0.252976501419748,3.69984830824476,8,-3.50765231519089,-3.61919846496023,1.21600964428993,1.61616173736524,0.226373650419265,0.0866142564604331,0.225994656508431,"2013","South Asia","Bangladesh","Lower middle income"
"China","China2012",54,-0.945486785363491,-1.05893204307896,0.689639465525271,1.1178462584803,-0.00610824550464213,0.13151800542786,4.67529449317939,2,4,-1.14729305419027,-0.37581945994971,1.93566221701268,2.50773375219662,0.154665705736702,0.75273967034533,1.08107985665239,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",23,-1.23276193783685,-1.30307919607015,0.729868841887624,1.04310341101082,-0.135244754390383,-0.575530213711065,0.973877261379471,14,16,-1.25970142159748,-1.18165522314965,0.405065494983308,0.590348116242634,0.111467149273471,0.0726377709410585,1.69750754099211,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",55,-3.12987092843389,-3.3048046115577,0.661392659212852,0.893520365465006,-0.201120911794722,-0.00493741682581489,1.51947474294092,0,193,-3.07519172368846,-3.19614444399015,0.939779713134802,1.37771301131028,-0.366610526293676,-0.0740070999439769,0.731053150313109,14,-2.18178882164866,-1.90027173214026,1.43064245373682,2.57733087459893,0.531086594441654,0.251564599292632,2.02583163155861,"2014","South Asia","India","Lower middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,11,-15.7843911686742,-15.5427972518569,0.784836087002347,1.34043255414943,-0.0764296353090553,-0.0967858175211559,2.1095972771055,"2013","South Asia","Nepal","Low income"
"Vietnam","Vietnam2009",8,-9.66381539110101,-9.81091724111097,0.513073600572103,0.599953144903457,0.0273893063845679,-0.0357095469560675,1,0,4,-8.97292293596704,-9.0337349508027,1.34805352991587,1.45136639849319,-0.216353064300298,-0.0944345281714689,0.985751374255629,5,-8.85912595696037,-8.41566912861935,0.867432840572339,1.71414773152529,0.245999873845947,0.199061067629822,0.970180325991934,"2009","East Asia and Pacific","Vietnam","Lower middle income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
