"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,11,-0.828325522912657,-0.866985180011847,0.629111227079926,0.849531949394217,0.0506885976957744,0.0299859364748227,1.65791370375673,6,-0.585904064916349,-0.703047345688337,0.846700837662219,1.78611156773077,0.0574578786650581,0.0504734365891794,1.0119133282488,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,0,11,-1.31910475972026,-1.46815057224227,0.83505010905201,0.697560032161245,-0.0881697666048017,-0.143059346985396,0.833569188914409,4,-0.684715462235916,-0.665550718705053,0.121897695225316,0.140772793121817,0.00435630519402542,0.00173739723439811,0.899435771408811,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,1,8,3.2736505446178,3.72524734887437,1.33689035066368,2.41149437635564,0.0597387072625392,0.302030580137256,1.17675707342796,7,2.62292989877482,2.49879178390779,0.299695144757307,0.59632386267527,0.00214050378348058,0.0358968111564579,1.14515070107344,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,5,-2.16402826846367,-2.15669123177891,0.428307137677192,0.386645856668943,-0.0103141453540118,-0.0793704362339748,1.05796532330332,9,-1.42836363325249,-1.43583274311591,0.2639618926587,0.327596457876671,-0.0638912665254296,-0.0867049379315429,0.540439172854746,3,-4.31087266067664,-2.31210475632989,5.79196786093008,9.05601048545364,1.94223828603594,1.44596089171348,1.87463701772908,"2010","Latin America and Caribbean","Chile","High income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,2,35,0.6085600666798,0.570364169330865,0.479796010234431,0.532784925227853,0.00747841704508417,0.0286231752308844,1.26589419080424,15,1.88533802940297,2.50732089126388,1.49142897671321,1.31509222394554,0.249225386328201,0.19273131762788,1.01052609570692,3,3.36101245745237,3.64745048358307,1.15566136963223,1.77330699683605,-0.140549045782353,-0.0935754516565551,0.809090909090909,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,29,-0.294985511599798,-0.369167844635586,0.761015901456979,0.986159947048515,0.0622960779964542,0.0686853997978545,1.31144514844205,23,-0.319481149620532,-0.425069802222088,0.592497525971229,0.990213975963922,-0.142424447336372,-0.0810723751793592,0.64900950053346,4,0.0908827731500847,0.0534612513082236,0.528684485781624,0.532060579001538,-0.0653316965678417,-0.0763430155457051,1.03599237454709,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,0,7,-4.33644928151811,-4.78909874339059,1.12842261661294,2.46835324936161,-0.0661978002068854,-0.0244269616057009,1,4,-4.58637009235807,-5.00241368227534,0.799104534317711,1.39223247477342,0.208817680175539,0.143056514651907,1.46483365503311,4,-4.28128132742044,-4.24628508333229,0.743517346845369,0.82637261481204,-0.0754713592669176,-0.327151783405926,0.834237587232888,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,1,17,-7.91453849932335,-7.98708519984061,0.9775728641194,0.919513694966652,-0.0920787737038095,-0.124107481607038,1.12606152239575,2,-7.18994512633098,-7.18994512633098,0.486951534589092,0.688653464434285,-0.0988111827861059,-0.0968418934360714,0.752480937602475,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,0,13,0.178439738051339,-0.130226358830914,0.917495826867734,1.43447919430097,-0.0300460738150773,-0.0022000242518851,1.06375763236243,10,0.461744368014267,0.234324061793629,0.590398655998384,1.10244880091255,-0.0284398155039235,-0.0568308645520668,1.25,3,1.03014080224608,1.07925605061385,0.412891155864622,0.363933396013085,-0.050750939617886,0.0197472841609616,1.08230673016073,"2012","Europe and Central Asia","Russian Federation","High income"
"SriLanka","SriLanka2011",NA,NA,NA,NA,NA,NA,NA,NA,1,13,-1.54760470525672,-1.50891159932131,0.387382735446768,0.62464613602404,0.0545635999734365,0.0467471454816924,1.11083504510046,2,-0.341994869850682,-0.341994869850682,0.638986523670031,0.903663407947795,-0.234839351514253,-0.223537790387086,0.626125510597069,NA,NA,NA,NA,NA,NA,NA,NA,"2011","South Asia","Sri Lanka","Lower middle income"
