"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,23,1.41088218743012,1.27022516544853,0.552639602015132,0.624597674955536,0.513197489581682,0.433013883122353,0.941447462775578,8,1.7392898601113,1.37421897797131,0.796711939800847,0.831809215640073,-0.202778152808226,-0.21327199428523,0.421570503462689,25,1.70312513962557,1.64828303931054,0.621235501313195,0.812284748079648,0.198393509958218,0.228240479510526,1.69045311793617,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,18,6.55251000907831,6.2733622533837,0.792278779944574,0.418810296014033,0.784364022117587,0.665917322080611,2.86319805722776,NA,NA,NA,NA,NA,NA,NA,NA,6,6.07467706784409,6.19928681620435,0.265640079774508,0.146918573766992,0.0315280418085571,0.07081268811609,1.31123447606189,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,2,4,1.95896143436351,1.93006223816489,0.428015465201106,0.80870200398677,-0.114942700922346,-0.131091427750751,NA,4,3.00833757717175,3.05534683199304,0.486354497494123,0.474844682466493,0.397768378913895,0.404059881531532,0.842424833792443,8,2.03929201618752,2.02403692216173,0.258687798524069,0.175528456689386,0.00800542889384815,-0.034979925027593,0.351206349262233,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,1,9,1.97628354577749,2.33763883162258,0.733065638843256,1.04263361788253,0.124310861479388,0.280635670778704,3.2692098746812,NA,NA,NA,NA,NA,NA,NA,NA,5,1.79282660688488,1.79710019725255,0.672921365872657,0.998077428895439,0.360808691758342,0.369714275425222,1.57216103555589,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,1,18,0.918441279264243,1.21414571320569,0.847709879127226,1.089236829358,0.407407850013095,0.840228585042446,1.80080226464084,14,1.82905529842021,1.78413030606032,0.844927982586992,1.09432763240921,0.226520953247104,0.321429190077664,1.75215909441143,9,2.21068120491943,2.06521258086843,0.749140379386671,1.26964253233454,0.124954363831471,-0.0525665706904684,1.73653227369568,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,1,16,2.11996321638026,2.10165934890346,0.700062928854528,0.83085622670195,0.411920090909124,0.426512276038893,0.989320552599682,7,1.56714655009076,1.66140422579166,0.987121974007925,1.02752737928616,0.0196004565796899,-0.00270841956166787,1.3034223959776,8,2.12044026376729,2.24252289476015,0.771358147043031,0.535333450245748,-0.29836059109885,-0.318186871060081,0.387720522780255,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,46,2.52404811961845,2.55105551845796,0.737438680419626,1.19073416149276,0.0627744381276077,0.25531375625781,0.895835791704101,6,2.00952506953912,1.65060324715811,0.79148695149622,1.01683332739899,0.393616281108453,0.22324375841847,1.37398826903959,25,1.89451671191671,1.85160471026782,0.542488115190014,0.88226867550485,0.0535956118696682,0.156340315807882,0.450408271181679,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",NA,NA,NA,NA,NA,NA,NA,NA,0,11,2.06897630237381,2.28382704391229,0.389998615408033,0.483998202601182,-0.0599767561148149,-0.0694667527663437,0.99624848609414,NA,NA,NA,NA,NA,NA,NA,NA,5,1.79354507413688,1.81513069257553,0.210200570422543,0.488910136311286,-0.0455333896158944,-0.0346158685111229,0.811957989855791,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,2,5,4.66514592466728,5.45973353519866,3.53274156411499,4.64708418448915,2.36635186963467,2.69536110806195,1.00205529002196,8,2.50699192793663,2.57911822883208,0.64136321498542,1.35962495123972,-0.0494037296731115,-0.109043009111472,0.800306254265933,10,2.76409053685363,2.87865234674586,1.61485698524024,1.23980068575596,-0.678088433467318,-0.877968971445766,0.410701876975294,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,4,11,5.50158532745836,5.24087792100016,0.550613972607645,0.874524202390688,0.04543655210341,0.223212162474116,1.56360262559271,6,6.06364166889068,6.07104200763682,0.37492755493406,0,0.111003838504375,0.16458359084514,0.660108015537394,15,5.94897011007374,6.20100534512116,0.543947582116726,0.53027416043869,0.0442368546465477,0.403397678406113,3.21473456910181,"2012","Europe and Central Asia","Russian Federation","High income"
