"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,22,0.0103437529506159,-0.0587993483832997,0.457665269928236,0.434022690798226,-0.245834412687375,-0.197337918780156,0.743539240048327,8,0.263288591494645,0.282841181852846,0.448129580233694,0.75193399357692,0.0598849179955414,0.0596315741460793,1.26471151038807,23,0.0179506637496046,0.0373121510528439,0.451563897920842,0.476594413581156,-0.066614765462416,-0.0690730453232402,1.00358137140046,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,18,2.67374886128639,2.47431804237707,0.458302200253507,0.560509514245197,0.465644351210188,0.311553922719772,3.06909881577106,NA,NA,NA,NA,NA,NA,NA,NA,6,2.78827809892142,2.7461353834855,0.293483402146181,0.566510143778849,-0.0372414080780517,0.0489240225356864,2.84186370813407,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,0,4,0.0452156379392831,-0.249073723546319,0.550316688880176,0.945740728531842,-0.0884939957167583,-0.144982207781225,0.243475815992222,4,0.471250319898916,0.494055821419662,0.544027617128957,0.719044120263044,0.403154577314051,0.352231885466516,0.842424833792443,10,-0.00612787073162087,0.0265790304413261,0.263349416499261,0.405034511520849,-0.0240741341716352,0.116707534233882,0.26560150174859,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,1,15,-0.311523044995476,-0.358687684866414,0.556409820987105,0.483498994584469,-0.0499438269871943,0.171757854230011,0.492801649731138,13,0.100263925267935,0.0637367549157436,0.373504642468631,0.634083332337587,0.0196661270100101,0.0975288467978207,0.412998020370558,9,0.579071464986584,0.503484359507432,0.559039773797694,0.811105526607623,0.0537391900884348,-0.0807903183486262,1.55422031417794,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,0,16,0.812464592197363,0.865606747951465,0.661120334348815,0.674678373823237,-0.15259400589178,-0.172795732267635,0.80558061824787,7,0.564357495348892,0.406085339915145,1.05763993782819,1.92474173429792,0.135676626565974,0.171022571435643,1.3034223959776,8,0.994791966193639,0.672920467236556,1.0448707555576,1.05001726920475,-0.309377239427284,-0.326861454128583,0.22307158861304,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,2,45,-0.0578639384110954,-0.12378802606014,0.372889662660685,0.456234311403165,-0.0388810738462469,-0.0782760878302751,0.600125411316048,5,-0.42580969931983,-0.450697298586741,0.160953955264503,0.188050579973048,-0.0780115546548773,-0.119530636854576,0.156579859719611,25,-0.380434854662961,-0.416979486162578,0.296674809618188,0.262955280423361,-0.0588914952215156,0.016722939326417,0.455812016945753,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",NA,NA,NA,NA,NA,NA,NA,NA,0,11,-0.420140820561276,-0.480767014660589,0.218354283204039,0.319406383494965,-0.127951437562928,-0.132072670060984,0.79875191502374,NA,NA,NA,NA,NA,NA,NA,NA,5,-0.402997661247862,-0.324259088093817,0.1326896878237,0.174322701530528,-0.0745457403208807,-0.0692631043016342,0.33831582910658,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,3,4,6.65922336086572,6.52952342569258,0.765357935873718,0.986475242724723,0.0874074276565901,-0.169451694556412,1.11019872793732,8,0.561180225926705,0.462211172850854,0.549007544828626,0.913941075962637,0.0366867203969831,-0.0211998735722722,1.24527109495326,10,1.1299332175584,1.68090608578038,1.92125797864327,2.264980073874,-0.771678207194062,-0.635193428506526,1.05495999306566,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,15,8,2.42601143288679,2.43616237645508,0.115110388992663,0.124090455481792,0.0089275226922907,0.0191201174795603,1.50067428687078,NA,NA,NA,NA,NA,NA,NA,NA,10,2.38236392728541,2.42356711388114,0.134521682645842,0.171051481813969,0.0318213081122974,0.227973370619122,0.777118704605025,"2012","Europe and Central Asia","Russian Federation","High income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
