"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,2.73255066884798,2.73255066884798,0.973884576975928,1.37728077694534,0.195603518044032,0.202541290727256,1.26028730057515,11,3.83514169074389,3.89729416375064,0.91882503320328,0.650603820537796,0.268753726368485,0.357316035333845,1.59324441848408,4,2.31097864189967,2.282467938293,0.709820002391899,0.80382315271804,-0.0610123793669469,-0.204317797087285,1,"2013","South Asia","Bangladesh","Lower middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,9,2.64600002913284,2.58754068344509,0.385635566975946,0.442751543409633,-0.0588118506901433,-0.0581618408286466,0.993009852491615,4,2.12959381389832,2.13773596759181,0.684211547130255,1.32631622850187,0.383921949093884,0.351966686741084,1.92941638615489,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,3.74192063932959,3.78083549846297,0.737746584116419,0.782883860919807,-0.294443556795592,-0.0888686444028753,0.722602301596903,13,2.75736439029666,2.84283644097274,0.435332235598442,0.522566180514316,-0.0140277471949176,0.027373028040052,2.57743634634134,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,12,3.49056850352326,3.68870701537511,0.546195432896816,0.652981682688534,0.552329646419306,0.558312426783907,1.14629880391467,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,0,18,2.86112929190636,3.12094381148319,1.06235365074186,1.33920944358761,0.558737327051103,0.561625983591977,1.38307334075185,38,2.56917878075192,1.99113619777399,1.40909639802277,1.27301573813969,0.863331559878402,1.01398850407019,0.94750475042878,11,2.48434663822501,2.35246750295187,0.687869149345726,0.555135878374939,0.512917517929185,0.423500583154781,0.522496054352046,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,4,3.31000041392392,3.2333982799443,0.39258651113072,0.647013915929348,0.0362292178475792,-0.00840910837227264,1,43,3.54207240882659,3.26681794760888,0.787430444818494,1.2072985729075,-0.173423603194325,-0.020883131063066,0.279288671098786,19,3.59325741720173,3.47944891924365,0.652203398617585,1.13182829941095,0.141924871354118,0.280627980704595,0.484564524335202,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,15,3.97711171876462,3.8424754953805,1.24090571758582,2.5904302336238,0.202878938355769,0.0268127317475073,1,5,2.84671420224638,2.59940191611662,0.792367078996513,1.04410850705102,0.126292378745295,0.61952058582939,1.20939754771049,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,0,6,-0.994616466524757,-1.41394691306038,0.852446412800469,1.56562499661815,-0.143292178173477,-0.115152787441881,1,4,-1.42250260634699,-1.60953094054962,0.783419108174178,1.35867531418087,0.139171610793709,0.243794122963011,7.21249164026827,12,-1.50511602046315,-1.61691063059956,0.848175051659565,1.27010698919061,0.33069567591907,0.140785393379632,1.2188726356479,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,0,11,3.21672516872892,3.01259848135632,0.84052025079445,0.793606156581095,-0.00383228590796295,-0.433328279538044,1.1,10,3.24659368214865,3.37600312040576,0.743408532851417,1.22278693050039,0.0990508506858093,0.0868987272786223,0.810810810810811,12,3.69714844645559,3.90442675838017,0.711337875024258,1.01666055665612,0.0165679931569844,-0.073482004611183,0.651000164558418,"2012","Europe and Central Asia","Russian Federation","High income"
"SriLanka","SriLanka2011",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,2.72144798524908,2.97302577211955,0.610799257391045,0.913469052237959,0.0691837179294994,0.0570581787660391,1.06565715426253,10,3.01263073766895,2.91223109224315,0.581576265746345,0.540539474647792,-0.161785928974918,-0.4884536807181,0.769187617174288,"2011","South Asia","Sri Lanka","Lower middle income"
