"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,-0.31510040845984,-0.31510040845984,0.0932258499099394,0.131841261306395,-0.0192957399969351,-0.0267802562028615,0.827298377941528,33,0.086890807007318,0.0466825744696028,0.50311394393751,0.467995482103884,-0.0497257880702685,-0.0590169630817778,0.6,18,0.0524635040421601,0.0892874337563593,0.382093569865351,0.595878920513197,-0.0249722428479316,0.00545785821040878,0.8,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,8,3.23269378124586,3.29982994259814,0.304638932430009,0.496480882289102,-0.0207376512639889,-0.0445946886653419,1.26260789894128,11,2.47977755010214,2.54641210744743,0.219095162433573,0.340348583069552,0.0432210153063446,0.0382372660496024,1.17819562454113,4,2.40542697666428,2.40193756719028,0.0691594241005697,0.0163736734140256,-0.00148021046264211,0.000311055228846924,0.976663038030053,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,1,4,-0.321617018654314,-0.412141241775556,0.195335033068847,0.275374345245229,-0.0419885130699834,0.0205693495370365,0.457142857142857,3,-0.106826069873023,-0.223605409064318,0.262818679172288,0.494136121086038,0.000482299849191584,-0.00159090547510461,0.880137372549337,10,0.206273176047083,0.185854754653795,0.406324543245276,0.424014775043757,0.0636470244179597,0.0904214716889029,0.556054487435534,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,1,3,-0.123784519508734,0.0522957171918734,0.399760007480008,0.739066644526755,-0.00363346993400877,-0.00363346993400877,1,20,0.170741561539642,0.134271512105018,0.499295664888112,0.589981760494709,0.0954963130866606,0.0537250499092277,1.59162734167373,14,-0.0986796407368973,-0.126230958448197,0.70531748403134,1.03337672856252,0.0441407308221931,0.0429071414312408,1.51371609361829,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,17,0.887146090523182,0.752033258667332,1.00480411630757,0.808183171075443,-0.0546432687147322,-0.0390642151368537,0.666666666666667,13,0.669258803762531,0.658326015884851,0.608026069945615,1.0412419826334,-0.082420252308887,-0.0753492494873581,0.78411360106501,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,2,10,-0.43929689301816,-0.374763478257434,0.244838546446648,0.219322275736687,0.00585427044370811,0.0569701044891619,0.993480308546613,18,-0.215541278498914,-0.314162972747418,0.314233097855605,0.375861508710745,0.0151044671637223,0.0523460996293865,1,47,-0.179415502093424,-0.207302580587571,0.39399047079158,0.418189306705845,-0.0328790444841167,-0.0187072016333482,0.795441487862545,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",NA,NA,NA,NA,NA,NA,NA,NA,0,2,-0.725897094353599,-0.725897094353599,0.220868590459956,0.312355356130698,0.027686043036968,0.027812463217117,1.17333333694935,7,-0.325474908177689,-0.305798378731472,0.132419155052809,0.277648739262972,-0.00669938324906639,-0.0153459591635454,0.882404994798851,7,-0.502496257711866,-0.515720468421417,0.153424668795752,0.182105577621872,0.0191869314241284,0.0292118147763677,1.13057060619513,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,3,2,3.36802916471665,3.36802916471665,4.7440004118137,6.70902972229048,1.64157110226256,1.64157110226256,1.95833333333333,20,2.25425622803422,1.37049368926961,3.2032681235384,3.53886044632955,0.209646440532614,0.125064547245726,1,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,17,3,2.6103790467404,2.60247226272883,0.168509369363781,0.188207854268047,-0.0037737016415231,-0.0172545192455329,1.03460344481904,3,2.4643783893505,2.46350526138996,0.0129008776811148,0.0136646932549116,0.000315582930829795,0.00125038359666881,1,10,2.35333747619228,2.34178083338988,0.103368777944961,0.126491580409567,0.0276527515896885,0.0138275758759879,1.36061232025178,"2012","Europe and Central Asia","Russian Federation","High income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
