"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,17,3.19028464128275,3.25658507161408,1.09906210364377,1.75739083553093,0.0656424866255179,0.189391937977731,1.1597399509227,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,0,14,2.5231424309259,2.76130473871366,0.667349678029263,0.961595249518112,-0.0308929007067276,-0.0300737532052258,0.878863048229456,2,2.94388713259815,2.94388713259815,0.395602756870976,0.55946678407912,-0.0382683485845174,-0.0399619131485086,0.893565952099522,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,0,9,3.62256371746701,3.74331349720258,1.0761937968917,1.14739794527295,0.0559724960359122,0.356406309413879,1.03958457755114,10,2.78834458995777,2.80776229178003,0.559471937801861,0.740263607595887,0.242436018420675,0.116870821881446,3.12232868708328,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,14,3.52934464592805,3.71805276603439,0.437632080824411,0.588033055277702,0.0227633081093778,-0.0233995531864983,1.8502933216334,3,4.80270143700158,4.73818250048788,0.994634023281655,1.41827460861915,0.114934093131187,0.144942378369949,3.73333333333333,"2010","Latin America and Caribbean","Chile","High income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,1,59,2.39088828700699,2.0993096374608,0.987894002122652,0.789895310758972,0.379440744575979,0.49083846276336,1.00019819337465,7,3.53482210844486,3.79398081793566,1.04005634760332,1.06638038499352,-0.0713247856589383,0.298516939190403,0.583203286745274,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,60,3.51900242692702,3.32412092957685,0.720728908154664,1.13572573331663,-0.175948473572056,-0.044577960298052,0.32657323382719,6,3.83829393496916,3.90762977057617,0.752595408308186,1.65918132146081,0.16252633932801,0.069341683009108,1.1829016832551,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,0,12,3.43463627895323,3.31269634247701,1.14197231895368,1.33074571587997,0.0175847249150309,0.10006325649968,1,8,4.58442333679279,4.03462408767217,1.24772917958713,1.89952468740316,-0.321538223302114,-0.140291073799705,0.684050332770501,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,0,19,-1.42265226106315,-1.56844827468049,0.860049771618501,0.883906016165163,-0.159570469183123,-0.21097899339407,1.16666666666667,3,-0.973394047334385,-0.852587310021459,0.560744775331916,0.343155980760976,0.112357805352187,0.251047091126586,8.71311938856436,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,0,30,3.39293939435792,3.49118213411372,0.814187215073421,1.01751189291328,0.054439262522554,-0.151954430947198,0.85674431395889,3,3.463416251217,3.43026490350832,0.162618885385171,0.24641414049027,-0.0596868987453782,-0.0531377777242109,4.02085685048911,"2012","Europe and Central Asia","Russian Federation","High income"
"SriLanka","SriLanka2011",NA,NA,NA,NA,NA,NA,NA,NA,4,14,2.83138240714112,2.99671833025364,0.640846370366931,1.01347335647149,-0.0317437049969732,-0.0686146857480745,1,NA,NA,NA,NA,NA,NA,NA,NA,"2011","South Asia","Sri Lanka","Lower middle income"
"Vietnam","Vietnam2009",NA,NA,NA,NA,NA,NA,NA,NA,0,13,3.63195796113014,3.79113391970683,0.472279358244186,0.915862907379126,0.204019254096166,0.0696575808153197,2.85489454308295,15,4.47973915889509,4.5604118478358,0.722589245675473,0.71811750541573,-0.0749669979209648,0.227716877902085,1.04624600014713,"2009","East Asia and Pacific","Vietnam","Lower middle income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
