"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,11,2.56495542016331,2.58991116078814,0.435396507103392,0.685560292956927,0.04851314225864,0.0273372500794615,1.57676861115088,6,2.51859458273761,2.51564389464103,0.594326621888434,1.00699616790614,0.0411021074498884,0.0420658477661497,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,0,12,2.1764315037926,2.19003727178451,0.548409307845738,0.624148577169221,-0.0215543591600346,-0.0402243416792571,1.31571100616174,4,2.32425491186666,2.35013349492694,0.252858920831855,0.327468590619432,-0.0468670006312123,-0.0481831380844688,0.899435771408811,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,0,8,2.72436228303609,3.00894029296811,0.887485998406516,1.67247241532874,-0.022510045115929,0.111771029500697,1,8,2.24150553583556,2.10798869792653,0.429264770757653,0.494265518952824,0.0357002009359825,0.0970843373087557,1.16617182283014,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,5,1.86737380658845,1.81596373756534,0.226564200658392,0.218083336724618,-0.00554769002571505,-0.0427255296410614,1.02757009660862,9,2.40894433075329,2.51526125648859,0.383545188272763,0.572940092251141,-0.09933151916778,-0.0821944149403075,0.546592073073578,3,1.9075911844938,1.89705762365897,1.23476710707108,1.98094095569716,0.390535781096743,0.246526883159717,1.87463701772908,"2010","Latin America and Caribbean","Chile","High income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,4,38,1.78048126159255,1.71826423866874,0.367227252065616,0.431512456565636,0.0679280439937309,0.0657134293933882,1.19232694612027,16,2.67564834922506,2.59260954618753,0.993911054651226,1.19001085968988,0.111639310955023,0.100963901982453,1.0647094389523,4,3.61030996557136,3.611332617504,0.652208238768076,0.680730148787573,-0.0263053971533023,0.114940556847763,0.857746478873239,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,35,2.67000769768593,2.5243791572853,0.505722076526986,0.696323199203778,0.00188536334811802,0.0179489556603975,0.95766060174187,26,2.52581901025475,2.50893999562601,0.452117591432155,0.860347348705933,-0.101673115294373,-0.0442911020271704,0.582188429298286,4,2.78128943611436,2.9216767070799,0.385418456148436,0.230503474854885,-0.0121411321359825,-0.0402267179358174,1.03599237454709,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,8,5,2.42578840144793,2.41172141290475,0.126516589301774,0.242564123278935,0.0104297408723455,0.00417471817742544,1.00612172704096,5,2.58056630414219,2.34566586813571,0.496202900177167,0.940024931903785,0.131784031680063,0.0841804349291494,1.24744936822691,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,1,18,0.441806657800841,0.418334440835777,0.606671933250101,0.715996351903474,-0.0602629677683581,-0.0821848013567085,1.14089336701951,2,1.29267992841042,1.29267992841042,0.192848569494141,0.272729062462865,-0.0391324267340167,-0.0383525244088404,0.752480937602475,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,0,15,1.95596440385545,1.80049112201346,0.580625417385791,0.807063719960585,-0.0183836779055218,0.0014054768717862,0.986336314146985,11,1.93884011851308,1.8282031824147,0.382866120417609,0.692052443938924,-0.0291564648338578,-0.0494821771904285,1.25,3,2.46257094497937,2.48902137959699,0.543051643235438,0.625813748587511,0.197560152449369,0.235240179067075,1.08230673016073,"2012","Europe and Central Asia","Russian Federation","High income"
"SriLanka","SriLanka2011",NA,NA,NA,NA,NA,NA,NA,NA,1,13,2.30813864975406,2.39741948100204,0.249835843736846,0.256620259218242,0.0159172191467571,0.0167177251381317,0.922806288864058,2,2.68117750984385,2.68117750984385,0.0849015841988253,0.12006897184094,-0.0312029005889971,-0.0297012719817062,0.626125510597069,NA,NA,NA,NA,NA,NA,NA,NA,"2011","South Asia","Sri Lanka","Lower middle income"
