"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Small firms","mean_Small firms","median_Small firms","sd_Small firms","iqr_Small firms","OPcov_Small firms","OPcovNoWeights_Small firms","indAlloc_Small firms","N_Medium firms","mean_Medium firms","median_Medium firms","sd_Medium firms","iqr_Medium firms","OPcov_Medium firms","OPcovNoWeights_Medium firms","indAlloc_Medium firms","N_Large firms","mean_Large firms","median_Large firms","sd_Large firms","iqr_Large firms","OPcov_Large firms","OPcovNoWeights_Large firms","indAlloc_Large firms","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,11,3.28006712780969,3.46108430326243,0.918000453193281,0.951041426479286,0.125271436533268,0.0812171362119496,1.66666666666667,6,3.13411325612935,3.13447685054994,1.28223653658131,2.27936698621243,0.0890724968780553,0.0985353889083317,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,1,12,2.51218586083095,2.78837961027662,0.708278026377844,0.961595249518108,-0.055950258778858,-0.096536100224344,0.849139286174836,3,2.65580256069562,2.70231235853748,0.194801797234781,0.394734791579204,0.0116343229004514,0.0104426104394261,1.13274140261126,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,0,10,3.25899266244276,3.10934583056122,1.08289876059686,2.08525449915587,-0.0240608346913543,0.131750475207136,1.17675707342796,9,2.99590518974283,2.81822392096304,0.519782214057693,0.887080264867455,0.137240265726542,0.110315122454205,0.974827263404065,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,4,5,3.32993209784244,3.36652807049501,0.485395098025317,0.514929291818664,-0.0129848159184242,-0.0912290119201298,1.05796532330332,5,3.79056096507904,3.79131440136085,0.0512774821399715,0.0649486274111126,0.009814179757455,0.0158846539998137,1.0435196778234,3,3.76390306814095,3.6574693314948,1.72858167815992,2.77591678746224,0.540236734387983,0.33117690928407,1.87463701772908,"2010","Latin America and Caribbean","Chile","High income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,3,43,2.14889535071803,1.9814605530922,0.567491389180972,0.48617530244174,0.0870887758641223,0.0746720534369232,1.01774348083674,18,3.45153073436791,3.1651892424575,1.61432509885072,1.68233995166037,0.256339660411845,0.220403989808231,1,3,4.22980870807052,4.23241304859492,0.0707836651935915,0.0841656570901801,-0.00828736698825929,-0.0092628648761243,0.8122555410691,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,36,3.55725822883323,3.18317485752476,0.733129353600106,1.13572573331663,0.0154177320207389,0.0497690395758974,0.956761327307528,26,3.48470357559367,3.41664238657094,0.724774770996208,1.31168453157985,-0.170134315050477,-0.0771339254198338,0.500452471766658,4,3.96479305708267,4.05438781264828,0.534414635866315,1.00767762641646,0.0743035393057865,0.0605759732194068,1.87679777997661,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,0,8,3.42366701304947,3.17462751967315,1.15727392255331,1.33074571587996,-0.0397390723377175,-0.0156367173470005,1,6,4.75021947633572,5.13173068952387,1.42284124165311,1.74740787621789,0.294966051725712,0.206031184460518,2.27855560834512,6,3.59298565424485,3.80248582968999,0.44438140613432,0.407014679520518,-0.00511144206924908,-0.00873936448259116,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,1,19,-1.42248507814724,-1.55165753418274,0.87535565202801,0.883906016167813,-0.0982177862694311,-0.134353837260401,1.16666666666667,2,-1.072136741266,-1.072136741266,0.757731115210659,1.071593619763,-0.153757206640657,-0.150692852779172,0.752480937602475,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,0,17,3.38698934595864,3.63811350676491,0.780817372013757,1.01751189291318,0.0159875336153491,0.0262836586799999,1.05386534878805,12,3.35331859244139,3.05620710022479,0.878792798916396,0.848150697419971,-0.10205464237084,-0.107173917914858,1.0858226915073,4,3.69756844288356,3.66210611994874,0.725476649242948,0.967446407942472,-0.167598459484251,-0.0450878427070308,1.02220413216749,"2012","Europe and Central Asia","Russian Federation","High income"
"SriLanka","SriLanka2011",NA,NA,NA,NA,NA,NA,NA,NA,1,15,2.80739993275596,2.89306684429214,0.600672937802377,0.634400278437695,-0.040625193919624,-0.0686072163083182,1.02779628845741,2,3.28926825141951,3.28926825141951,0.944734976280434,1.33605701630401,-0.347207555972022,-0.330498314559414,0.626125510597069,NA,NA,NA,NA,NA,NA,NA,NA,"2011","South Asia","Sri Lanka","Lower middle income"
"Vietnam","Vietnam2009",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,14,4.17585140655052,4.47272284839432,0.575079486460362,0.788997169440076,0.0838853720704718,0.0778126683958031,1.7063013986375,8,4.41271697773709,4.13068253671617,0.827362320249736,1.69399171408896,-0.114756520947263,0.0361435319354,0.651144392436774,"2009","East Asia and Pacific","Vietnam","Lower middle income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
