"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,-7.4827747278494,-7.4827747278494,0.109764971966749,0.155231112028879,0.0227189815044577,0.0315313196308661,1.95939089512467,34,-7.2465096620312,-7.27533023474936,0.730483882252803,1.12521729088085,-0.0805060285615693,-0.0787602915935951,0.840324664655985,18,-7.5009190787157,-7.47847679041797,0.505214449876044,0.5046758489833,-0.0558168808801853,-0.025029085110879,0.547750242370391,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,8,-3.021522464034,-3.17313754502895,0.834828323053465,1.15693043457796,-0.0529519886643407,-0.131566220701414,1.26260789894128,11,-4.28637948020762,-4.06548983461506,0.605375575296611,0.90511135160995,0.0338445857471463,-0.00462845786450956,0.994596755786483,4,-4.29825065126379,-4.30493531942502,0.160265713279994,0.0414112218408427,-0.00368328760309282,0.000112558788125767,0.976663038030053,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,5,3,-5.24504037784524,-5.32618496181181,0.252881754039517,0.485842974203694,-0.0531591765553355,-0.0531591765553355,1,3,-4.71139897988762,-4.90697780069029,0.38654793708558,0.694573562846903,0.00295514971666174,-0.000201589806925508,0.880137372549337,6,-4.34208768548574,-4.33115957296015,0.193535102040813,0.159783593133801,0.068563283523199,0.102987162882749,2.03350974670981,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,1,3,-4.75925406922028,-4.5990359095108,0.844819646731018,1.6666947428695,0.0812352137550523,0.0812352137550523,1,16,-4.53535597807993,-4.66738658296104,0.660705395532826,0.644286136558941,0.00485435633522332,0.0822942146541478,1.51342065391901,13,-4.16918068380527,-3.76988994720106,0.969070171035975,1.73902633890021,-0.0463234016675407,0.0537165581193887,0.913903380842391,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,-1.28717797969829,-1.69027668610671,1.25441662646944,1.21504907277686,0.0398278405575455,0.0355736504619216,0.92681312914878,11,-2.49067149290197,-2.31853619404215,0.688058533379323,0.873349310466308,-0.0688275488263338,-0.0584379894246071,0.788276167704358,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,4,11,-7.57337488757581,-7.29114053099075,0.665888476621798,0.610182500246291,-0.0113433863463054,0.0954053570918339,0.994029037405173,11,-7.3842520929737,-7.4943762309084,0.609625631189847,0.513237471053465,-0.064846707891639,-0.049425147941937,1.25,39,-7.24946094281061,-7.16980808174078,0.614425228710128,0.600887825302458,-0.0254897379695205,0.0443285524001307,0.879999326229157,"2014","South Asia","India","Lower middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,2,2,-4.49311640065404,-4.49311640065404,5.45569458469216,7.7155172738371,1.88783933296014,1.88783933296014,1.95833333333333,17,-4.7051671815839,-5.43764487824103,3.80322708607213,3.3380769518054,0.396740062411003,0.270307368789393,1.24527109495326,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,14,1,-0.972932040559245,-0.972932040559245,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,7,-1.27583084378611,-1.27267355654632,0.134579575672171,0.116159281752003,-0.00155060223823015,0.0142268570757872,0.371272331965668,"2012","Europe and Central Asia","Russian Federation","High income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
