"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",28,0.109345338476028,0.0705884927687965,0.508555116031518,0.679353037624233,-0.292551730908597,-0.257581413283485,1.19760141508439,0,23,0.0124714597915224,0.0555959741891086,0.399943682474338,0.375557287084971,0.0256701963909247,0.100744482662772,0.803009659569656,2,-0.103758966335593,-0.103758966335593,0.127889978340221,0.180863741860342,-0.0824429086401443,-0.0694012032719919,0.429058768679308,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,18,2.5826176721767,2.44265259858568,0.376301291593803,0.316261339466482,0.308512611517423,0.400255957963194,2.2740217079817,5,3.23124079698153,3.22942009962701,0.244286992001713,0.468916283767125,-0.0035984823830537,-0.0103419797068354,0.858233996774136,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",16,0.068848016699189,-0.160991181239543,0.459475697337442,0.531288353181125,0.154597829549882,0.20410255599868,0.332110939702382,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",12,-0.183307268311993,-0.0138068574472795,0.505327747390457,0.572379800679915,-0.202671228924634,-0.275765727235894,0.37311790876932,3,23,0.216439710009203,0.301418855959017,0.568007057079908,0.744720046951644,0.0175770489703713,0.0871757114991989,1.09155891891977,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",5,0.99127439479463,0.963656755586292,1.45236718708133,1.48002805612927,-0.482948996813448,-0.456677727667643,0.507996189712467,0,19,0.833509297475486,0.806896478751677,0.497622426815143,0.808183171075443,-0.0494363222858552,-0.0648581982035592,0.279620505178211,7,0.53254562640458,0.420152877033123,1.17944257189183,1.18769912788052,0.0929988426605904,-0.0133922758495575,6.16960208310372,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",11,-0.382203574833242,-0.326209421102195,0.169410338464773,0.279838759102663,0.0117743837149292,0.12692095708017,1.08078098620605,5,59,-0.178671317695887,-0.248633289349086,0.353289447575894,0.422196876176745,-0.062743027042754,-0.0601373814052351,0.508958468835479,2,-0.573738496246935,-0.573738496246935,0.894925906092702,1.26561635371533,-0.0792850323765245,-0.105468029476278,0.91993280296195,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",5,-0.506435021913665,-0.580531761721807,0.299986477562848,0.352065730214679,-0.276343816872633,-0.267306814425609,0.114186507500412,0,6,-0.418563498788628,-0.441927339336524,0.113683547418342,0.199482550646401,-0.0638657773709366,-0.0451039820199833,0.20486505141788,5,-0.364225944661443,-0.37690197037561,0.224428998945717,0.400746652717228,-0.0808821835667215,-0.119831620854378,0.938985802974958,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Nigeria","Nigeria2014",15,0.970555758533528,0.448486746246655,1.56744905402337,1.78257326207695,1.40133833008994,2.84850297575729,0.16342933274719,1,7,3.91805809086705,5.43270745973186,4.64729816629053,9.20752984402098,0.402999583708156,0.727253209243219,0.866704860726395,2,1.31006547761775,1.31006547761775,0.957849102545215,1.35460319152634,0.0971458218848905,0.09675737082331,1.14911550706174,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Russia","Russia2012",7,2.37377717008523,2.41027356666761,0.117608432221541,0.157386788559057,-0.0225903367242065,0.081272775613379,0.639065415484375,16,10,2.45771258141199,2.46277736737317,0.0624835127159848,0.0445599014044018,0.00771487009674744,0.0039501589443193,0.17207805022181,NA,NA,NA,NA,NA,NA,NA,NA,"2012","Europe and Central Asia","Russian Federation","High income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
