"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,23,-7.52590419788353,-7.54335883037048,0.58683371512896,0.578173222663072,-0.0406650409558737,-0.119449438961402,0.457716729499298,8,-7.13026716941465,-7.22311848008948,0.595624801300108,0.735725731252073,-0.0920746051525849,-0.102494849794191,1.05392625865672,22,-7.19927152027136,-7.41265466174686,0.472590489090074,0.655883169936397,-0.0603009622650312,-0.0800964320932492,1.54181261512704,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,18,-3.85696807160704,-4.1400398407286,0.807527434417977,0.787901225718599,0.711810341733542,0.407883652626031,3.06909881577106,NA,NA,NA,NA,NA,NA,NA,NA,6,-4.16151293671213,-3.98122695868062,0.839477491584112,0.665901702443128,-0.0385918557553464,0.0607233756785788,1.3262030637959,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,0,4,-4.72806243230389,-4.90059618187904,0.542480382753167,0.956694719060463,-0.164177689037251,-0.216450748567055,0.243475815992222,4,-3.79781418189068,-3.84427731557652,0.87031372899169,1.00800678606676,0.538429278543187,0.438209054798228,0.558342895499919,9,-4.61610548954791,-4.50850734561949,0.41259323253016,0.531095566752915,-0.0596460905156684,0.341887071095176,0.285191041346808,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,5,8,-5.04317656753695,-5.0076536039007,0.334218947941163,0.180069952619411,-0.00678095696445789,0.0900355175818934,1.22344555101524,13,-4.17587595542288,-4.31259038702429,0.692129134367662,1.23701188484782,0.0591393077344205,0.120366911739337,2.00669821502895,7,-3.55201811677163,-3.98156307685267,0.830962280644659,1.62578801927689,-0.290241472939901,-0.180067017475724,0.226677463329338,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,1,14,-2.17996785352923,-2.12303970565383,0.810588615774706,0.68586067860811,-0.56174273049206,-0.508799331009204,0.219665645594029,3,-1.85292888965607,-1.83515749461027,0.305129315494576,0.626354644828899,-0.126229454692695,-0.129649029569023,0.375464039140881,4,-1.98346717355237,-1.69337518381403,0.936972839379778,0.780125596615327,-0.423929738486821,-0.501061443019685,0.337200527230219,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,5,33,-7.07456926507978,-7.06886151754692,0.503281590814247,0.521246626401298,0.0404271850224815,0.0410035958920129,3.29276624415557,3,-7.7427346696292,-7.74431581838012,0.0672480357062121,0.0854742573516383,-0.040308229162143,-0.0902608809529696,0.498696094212309,24,-7.53061897781673,-7.55313816643772,0.637935712750248,0.825909745829758,-0.165056418312306,0.0658875308776514,0.466359778370208,"2014","South Asia","India","Lower middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,2,3,-0.681625861603985,-0.811001487350219,0.595253942383396,0.320980726894392,0.0447182696329304,-0.118009793610791,1.07801189309348,9,-6.66884568251661,-7.04557403863273,3.0465095791715,2.63137102904568,0.36738221348661,0.157547989463628,1.24527109495326,7,-5.88535259374583,-5.50992899588369,2.07524531159356,3.00805518429604,-1.32099031827885,-1.91436596034467,0.238553787187601,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,6,5,-1.29207956177327,-1.42269650015456,0.346682177323939,0.299878845258174,-0.0549758776188362,-0.0902490282741379,0.78838151007102,4,-1.35652331847257,-1.36552327328428,0.448895321031936,0.579615557961747,0.352224574534163,0.502021181570478,1.04793562741036,7,-1.20819872331253,-1.21752541107237,0.106878322072348,0.0825779584803641,0.0810520964882838,0.251491564547497,0.748264432066959,"2012","Europe and Central Asia","Russian Federation","High income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
